"Rank","Country","Nick","SiteName","UserID","Rating","Raw_Skill","Multiplier","Role","Tier","Matches","Wins","Losses","Win_Rate","Win_Loss_Ratio","Goals_PG","Assists_PG","Saves_PG","OwnGoals_PG","Total_Goals","Total_Assists","Total_Saves","Total_OwnGoals","MVP_Count","MVP_Per_Win","Offensive_Ratio","Defensive_Ratio","Playmaker_Ratio","Efficiency","Impact","Goalkeeping_Index","Defense_Reliability","Total_Actions"
"1","🇳🇱","fycnamed (791K)","Plast1k","97532","10.0","10.00","1.034","Elite Goalkeeper","S-Tier","13391","7095","6296","52.98","1.13","0.27","0.25","3.18","0.17","3675","3336","42599","2304","3286","46.31","52.42","92.06","47.58","0.52","3.28","85.87","18.49","49610"
"2","🇮🇹","snowy (792K)","Nowhere","291964","9.8","9.68","1.012","Elite Striker","S-Tier","11182","7537","3645","67.40","2.07","1.68","0.61","1.29","0.11","18834","6813","14387","1221","3478","46.15","73.44","43.31","26.56","2.29","2.86","35.94","11.78","40034"
"3","🇭🇳","[x] (608K)","Navitas","351176","9.6","10.00","0.955","Elite Striker","S-Tier","8742","5544","3198","63.42","1.73","1.43","0.59","1.74","0.19","12506","5159","15210","1648","2686","48.45","70.80","54.88","29.20","2.02","2.98","46.27","9.23","32875"
"4","🇪🇬","hesitanttongue96 (598K)","yahyaalghnam","299204","9.6","10.00","0.964","Elite Goalkeeper","S-Tier","9085","5169","3916","56.90","1.32","1.16","0.49","2.26","0.18","10540","4435","20568","1659","2410","46.62","70.38","66.12","29.62","1.65","3.24","57.87","12.40","35543"
"5","🇸🇪","ai8nam~ (882K)","Ibra","172522","9.5","9.45","1.001","Elite Striker","S-Tier","10086","7189","2897","71.28","2.48","2.76","0.64","0.82","0.10","27802","6505","8320","1017","4492","62.48","81.04","23.03","18.96","3.40","3.48","19.52","8.18","42627"
"6","🇵🇱","|w| (825K)","kingofgame","287705","9.5","10.00","0.954","Elite Striker","S-Tier","8703","6319","2384","72.61","2.65","2.37","0.74","2.12","0.16","20595","6438","18434","1353","3789","59.96","76.18","47.23","23.82","3.11","4.33","40.54","13.62","45467"
"7","🇭🇺","imsippinteainyohood (759K)","Dani12312","258158","9.5","10.00","0.952","Elite Striker","S-Tier","8626","5313","3313","61.59","1.60","2.56","0.66","2.43","0.17","22068","5652","20947","1445","2749","51.74","79.61","48.70","20.39","3.21","4.82","43.04","14.50","48667"
"8","🇧🇷","bzk'nyron (684K)","Niron","271320","9.5","9.41","1.013","Elite Striker","S-Tier","11318","6200","5118","54.78","1.21","1.43","0.47","1.44","0.19","16169","5265","16297","2160","3314","53.45","75.44","50.20","24.56","1.89","2.68","43.19","7.54","37731"
"9","🇭🇺","-ffs-phautgo (667K)","Coolin","334284","9.4","9.66","0.976","Elite Striker","S-Tier","9509","6459","3050","67.93","2.12","1.73","0.64","1.14","0.11","16471","6126","10834","1036","3324","51.46","72.89","39.68","27.11","2.38","2.76","32.41","10.46","33431"
"10","🇵🇱","baker (593K)","BAK3R","246124","9.2","9.58","0.961","Elite Striker","S-Tier","8968","5249","3719","58.53","1.41","1.61","0.56","1.39","0.15","14428","5033","12483","1309","2610","49.72","74.14","46.39","25.86","2.17","2.85","39.08","9.54","31944"
"11","🇪🇨","[hvs]al3x (791K)","Al3xV10","178324","9.1","9.04","1.010","Elite Striker","S-Tier","10979","6472","4507","58.95","1.44","2.09","0.59","1.01","0.19","22991","6511","11094","2068","3560","55.01","77.93","32.55","22.07","2.69","2.92","27.33","5.36","40596"
"12","🇱🇻","fycramos (624K)","Ramosx4","165308","9.1","9.04","1.011","Elite Striker","S-Tier","11099","5777","5322","52.05","1.09","1.54","0.42","1.49","0.14","17076","4626","16583","1604","2411","41.73","78.68","49.27","21.32","1.96","2.89","43.31","10.34","38285"
"13","🇭🇺","0x5eed (426K)","dylij1e8bl1y","325981","9.0","10.00","0.897","Elite Striker","A-Tier","6674","3961","2713","59.35","1.46","1.80","0.64","1.80","0.20","11987","4244","12007","1304","2111","53.29","73.85","50.04","26.15","2.43","3.40","42.52","9.21","28238"
"14","🇦🇷","[hvs]survivor (910K)","#Survivor","66783","8.9","8.34","1.062","Elite Striker","A-Tier","16228","8748","7480","53.91","1.17","1.51","0.47","0.90","0.15","24482","7702","14533","2413","4321","49.39","76.07","37.25","23.93","1.98","2.26","31.11","6.02","46717"
"15","🇹🇷","ept.antepli (662K)","#AntepLi","353995","8.8","8.60","1.019","Standard Playmaker","A-Tier","11903","7031","4872","59.07","1.44","0.98","0.48","1.49","0.14","11666","5708","17766","1611","2736","38.91","67.15","60.36","32.85","1.46","2.34","50.56","11.03","35140"
"16","🇩🇪","bestfake (606K)","JustAProPlayer","399852","8.6","8.59","1.004","Elite Striker","A-Tier","10380","6392","3988","61.58","1.60","1.30","0.72","1.09","0.13","13524","7484","11287","1347","2237","35.00","64.38","45.49","35.62","2.02","2.26","34.95","8.38","32295"
"17","🇪🇬","whorizen (511K)","SIyVeR","285733","8.6","9.30","0.920","Elite Striker","A-Tier","7483","4349","3134","58.12","1.39","1.81","0.63","1.31","0.17","13547","4725","9797","1269","1927","44.31","74.14","41.97","25.86","2.44","2.95","34.90","7.72","28069"
"18","🇫🇮","attonly (399K)","waywt","424950","8.6","9.70","0.888","Elite Striker","A-Tier","6344","3275","3069","51.62","1.07","1.30","0.58","1.83","0.22","8241","3661","11638","1421","1449","44.24","69.24","58.54","30.76","1.88","2.91","49.44","8.19","23540"
"19","🇭🇺","os|hard (379K)","Hard23","286247","8.6","9.93","0.862","Elite Striker","A-Tier","5417","2974","2443","54.90","1.22","1.53","0.53","1.82","0.14","8278","2877","9867","771","1219","40.99","74.21","54.38","25.79","2.06","3.21","46.94","12.80","21022"
"20","🇪🇬","bad (222K)","besoashraf","110361","8.5","9.96","0.850","Elite Striker","A-Tier","5007","2486","2521","49.65","0.99","1.32","0.51","2.12","0.18","6600","2532","10591","901","995","40.02","72.27","61.61","27.73","1.82","3.25","53.70","11.75","19723"
"21","🇹🇷","-ffs-xecu (682K)","xecu","198795","8.4","8.26","1.022","Elite Striker","A-Tier","12245","7137","5108","58.29","1.40","1.28","0.50","1.03","0.12","15654","6101","12610","1512","3013","42.22","71.96","44.62","28.04","1.78","2.18","36.69","8.34","34365"
"22","🇭🇺","quashy.vou_te_comer (375K)","VanDerSar","187639","8.4","9.31","0.899","Elite Striker","A-Tier","6737","3552","3185","52.72","1.12","1.70","0.60","1.52","0.16","11457","4028","10252","1065","1414","39.81","73.99","47.22","26.01","2.30","3.06","39.83","9.63","25737"
"23","🇸🇰","[fyc]smoothy (310K)","Smothy","325680","8.4","9.72","0.863","Elite Goalkeeper","A-Tier","5454","2458","2996","45.07","0.82","0.73","0.39","2.63","0.16","3957","2102","14337","890","968","39.38","65.31","78.37","34.69","1.11","3.19","70.29","16.11","20396"
"24","🇪🇬","zizo (881K)","funzorro","96477","8.3","7.83","1.058","Elite Striker","A-Tier","15811","9133","6678","57.76","1.37","1.49","0.58","0.64","0.14","23600","9115","10182","2173","3642","39.88","72.14","30.14","27.86","2.07","2.00","23.74","4.69","42897"
"25","🇸🇦","puzzlingcoonskin13 (540K)","notafk","278338","8.3","8.29","1.003","Standard Playmaker","A-Tier","10259","5516","4743","53.77","1.16","0.86","0.45","1.53","0.12","8799","4576","15655","1229","2243","40.66","65.79","64.02","34.21","1.30","2.26","53.93","12.74","29030"
"26","🇪🇬","noney (462K)","xxIMaRVeLIxx","340264","8.3","8.87","0.942","Elite Striker","A-Tier","8290","4826","3464","58.21","1.39","1.75","0.70","1.04","0.21","14483","5807","8603","1776","2103","43.58","71.38","37.27","28.62","2.45","2.57","29.78","4.84","28893"
"27","🇵🇪","lelao (494K)","Tristan15Andre","384038","8.2","8.46","0.971","Standard Playmaker","A-Tier","9321","5166","4155","55.42","1.24","0.92","0.43","1.55","0.15","8601","4018","14402","1437","2099","40.63","68.16","62.61","31.84","1.35","2.31","53.30","10.02","27021"
"28","🇹🇷","ept.hexit (452K)","Hexit","266369","8.2","8.63","0.947","Elite Goalkeeper","A-Tier","8449","4356","4093","51.56","1.06","0.83","0.39","1.85","0.13","7007","3316","15593","1136","1692","38.84","67.88","69.00","32.12","1.22","2.54","60.17","13.73","25916"
"29","🇹🇷","beta (684K)","BeTa","280622","8.1","7.86","1.029","Standard Playmaker","A-Tier","12854","7636","5218","59.41","1.46","1.16","0.52","0.94","0.12","14872","6730","12020","1570","2910","38.11","68.85","44.70","31.15","1.68","1.97","35.75","7.66","33622"
"30","🇹🇷","fyclorente (870K)","Lorente","258735","8.0","7.44","1.069","Elite Striker","A-Tier","16888","9648","7240","57.13","1.33","1.38","0.45","0.62","0.13","23295","7594","10428","2226","3845","39.85","75.42","30.92","24.58","1.83","1.87","25.24","4.68","41317"
"31","🇹🇷","ept.watson (551K)","watsonn12","330874","8.0","7.94","1.005","Standard Playmaker","A-Tier","10537","5968","4569","56.64","1.31","1.08","0.50","1.16","0.12","11367","5309","12250","1305","2121","35.54","68.16","51.87","31.84","1.58","2.12","42.35","9.39","28926"
"32","🇨🇿","fyc:MaDa (546K)","madA98","11904","8.0","8.12","0.990","Elite Striker","A-Tier","9984","5197","4787","52.05","1.09","1.32","0.49","1.06","0.13","13217","4941","10535","1311","2227","42.85","72.79","44.35","27.21","1.82","2.25","36.72","8.04","28693"
"33","🇫🇷","fycputra (509K)","zakabare","167953","8.0","8.07","0.985","Standard Playmaker","A-Tier","9836","4900","4936","49.82","0.99","0.96","0.45","1.45","0.15","9443","4440","14220","1492","1914","39.06","68.02","60.09","31.98","1.41","2.25","50.60","9.53","28103"
"34","🇨🇦","fycwhf (467K)","Whiffen","280269","8.0","8.54","0.931","Elite Striker","A-Tier","7909","4143","3766","52.38","1.10","1.59","0.51","1.11","0.16","12547","4049","8741","1275","1844","44.51","75.60","41.06","24.40","2.10","2.53","34.50","6.86","25337"
"35","🇸🇦","ixchell (404K)","GuestofHonor","405513","8.0","9.14","0.877","Elite Striker","A-Tier","5960","3090","2870","51.85","1.08","1.92","0.64","1.28","0.20","11444","3796","7620","1193","1520","49.19","75.09","39.97","24.91","2.56","3.00","33.33","6.39","22860"
"36","🇹🇳","#error-404 (398K)","#RAMSII","301168","8.0","8.89","0.896","Elite Striker","A-Tier","6629","3687","2942","55.62","1.25","1.51","0.57","1.18","0.15","9993","3767","7806","983","1636","44.37","72.62","43.86","27.38","2.08","2.54","36.20","7.94","21566"
"37","🇷🇺","[skc]aveng3r (327K)","Aveng3r","66929","8.0","9.36","0.856","Elite Striker","A-Tier","5222","3033","2189","58.08","1.39","1.50","0.58","1.27","0.14","7822","3053","6658","745","1486","48.99","71.93","45.98","28.07","2.08","2.63","37.97","8.94","17533"
"38","🇵🇪","cris_mj_te_amo (560K)","skull1","306511","7.9","8.29","0.953","Opportunist Striker","A-Tier","8666","3849","4817","44.41","0.80","2.16","0.54","1.16","0.29","18751","4660","10077","2503","1696","44.06","80.09","34.96","19.91","2.70","3.04","30.09","4.03","33488"
"39","🇹🇷","""kellog (480K)","probiyotik","318661","7.9","7.88","1.003","Passive Goalkeeper","A-Tier","10270","4407","5863","42.91","0.75","0.64","0.33","1.92","0.16","6535","3402","19688","1626","1483","33.65","65.76","75.08","34.24","0.97","2.40","66.46","12.11","29625"
"40","🇸🇦","nvage/e (567K)","Nuage","270975","7.8","7.71","1.011","Standard Playmaker","A-Tier","11082","6131","4951","55.32","1.24","1.11","0.55","1.01","0.12","12312","6121","11247","1385","2160","35.23","66.79","47.74","33.21","1.66","2.00","37.89","8.12","29680"
"41","🇭🇺","[fyc]lokke77 (524K)","lokke77","199826","7.8","7.82","1.001","Standard Playmaker","A-Tier","10088","5081","5007","50.37","1.01","1.13","0.48","1.18","0.13","11429","4817","11913","1355","1909","37.57","70.35","51.04","29.65","1.61","2.18","42.31","8.79","28159"
"42","🇹🇷","[FYC]MuRaT (448K)","canmurat058","292794","7.8","8.28","0.943","Elite Striker","A-Tier","8315","4089","4226","49.18","0.97","1.22","0.48","1.34","0.15","10127","3957","11156","1275","1648","40.30","71.90","52.42","28.10","1.69","2.41","44.20","8.75","25240"
"43","🇭🇷","veri$on (426K)","Veri$on","176708","7.8","8.67","0.904","Elite Striker","A-Tier","6936","3990","2946","57.53","1.35","1.38","0.56","1.16","0.12","9575","3878","8027","843","1664","41.70","71.17","45.60","28.83","1.94","2.42","37.37","9.52","21480"
"44","🇵🇱","ca-22puckovsky (396K)","Puckovsky","102411","7.8","8.78","0.884","Elite Striker","A-Tier","6231","3419","2812","54.87","1.22","1.66","0.64","1.14","0.16","10336","3971","7112","983","1422","41.59","72.24","40.76","27.76","2.30","2.64","33.20","7.23","21419"
"45","🇪🇬","maldini (332K)","kegz","407545","7.8","8.86","0.876","Elite Goalkeeper","A-Tier","5911","3399","2512","57.50","1.35","0.88","0.50","1.70","0.13","5223","2936","10040","793","1369","40.28","64.02","65.78","35.98","1.38","2.45","55.17","12.66","18199"
"46","🇵🇱","deyna (276K)","Crystian321","254560","7.8","9.25","0.837","Ball-Chasing Striker","A-Tier","4790","2031","2759","42.40","0.74","1.30","0.48","2.00","0.18","6241","2276","9586","866","729","35.89","73.28","60.57","26.72","1.78","3.12","52.95","11.07","18103"
"47","🇹🇳","k-99 (637K)","dragon222","414837","7.7","7.46","1.032","All-Round Midfielder","A-Tier","13190","6810","6380","51.63","1.07","0.88","0.41","1.29","0.13","11673","5461","17077","1713","2169","31.85","68.13","59.40","31.87","1.30","2.05","49.92","9.97","34211"
"48","🇨🇴","michael.jordan (285K)","K3vinescape","405235","7.7","9.04","0.857","Elite Goalkeeper","A-Tier","5247","2845","2402","54.22","1.18","0.69","0.38","2.08","0.16","3608","2005","10926","822","1159","40.74","64.28","75.18","35.72","1.07","2.61","66.06","13.29","16539"
"49","🇪🇬","eeeeeee (374K)","SheRiF13","390467","7.6","8.55","0.889","Elite Striker","A-Tier","6407","3592","2815","56.06","1.28","1.45","0.61","1.05","0.15","9304","3903","6723","932","1480","41.20","70.45","41.95","29.55","2.06","2.36","33.73","7.21","19930"
"50","🇪🇬","3bqary (311K)","Samurai74","433924","7.6","8.82","0.865","Elite Striker","A-Tier","5538","2742","2796","49.51","0.98","1.20","0.50","1.61","0.20","6653","2785","8900","1134","1111","40.52","70.49","57.22","29.51","1.70","2.60","48.53","7.85","18338"
"51","🇹🇷","tsubasaozara (256K)","matindark","468241","7.6","9.81","0.778","Elite Striker","A-Tier","3799","1848","1951","48.64","0.95","1.67","0.49","1.69","0.21","6334","1860","6422","800","1028","55.63","77.30","50.34","22.70","2.16","3.15","43.94","8.03","14616"
"52","🇹🇷","theaim (439K)","cosmopolitan","336329","7.5","8.08","0.933","Elite Striker","A-Tier","7953","4085","3868","51.36","1.06","1.44","0.57","0.97","0.16","11432","4520","7680","1297","1624","39.76","71.66","40.18","28.34","2.01","2.24","32.50","5.92","23632"
"53","🇭🇺","1885 (417K)","Danihe","370903","7.5","8.04","0.929","All-Round Midfielder","B-Tier","7828","4420","3408","56.46","1.30","1.12","0.54","1.18","0.12","8772","4201","9247","934","1533","34.68","67.62","51.32","32.38","1.66","2.18","41.62","9.90","22220"
"54","🇪🇬","[hfg]afandy^ (408K)","youssefyoussef","148441","7.5","8.68","0.866","Elite Striker","A-Tier","5577","3389","2188","60.77","1.55","2.24","0.54","0.83","0.18","12476","2991","4607","978","1874","55.30","80.66","26.97","19.34","2.77","2.89","22.95","4.71","20074"
"55","🇹🇷","dolsfor (407K)","DoIsFor","329121","7.5","8.49","0.887","Elite Striker","A-Tier","6309","3407","2902","54.00","1.17","1.98","0.63","1.01","0.21","12503","3999","6376","1343","1443","42.35","75.77","33.77","24.23","2.62","2.78","27.87","4.75","22878"
"56","🇮🇱","supertarsier73 (395K)","ftDKross","257790","7.5","8.45","0.885","Elite Striker","B-Tier","6240","3725","2515","59.70","1.48","1.82","0.59","0.76","0.12","11367","3651","4718","750","1863","50.01","75.69","29.33","24.31","2.41","2.46","23.91","6.29","19736"
"57","🇨🇴","#spartan (340K)","#SpartaN","155812","7.5","8.55","0.875","Elite Striker","B-Tier","5886","2966","2920","50.39","1.02","1.33","0.51","1.28","0.21","7830","2996","7544","1244","1312","44.23","72.33","49.07","27.67","1.84","2.40","41.07","6.06","18370"
"58","🇮🇱","tango (338K)","Eardun","262187","7.5","8.63","0.864","Elite Striker","B-Tier","5486","2764","2722","50.38","1.02","1.77","0.58","1.19","0.20","9702","3191","6502","1091","1180","42.69","75.25","40.13","24.75","2.35","2.75","33.52","5.96","19395"
"59","🇩🇪","illiiillllilli (223K)","SUINEGG","322703","7.5","9.69","0.774","Passive Goalkeeper","A-Tier","3733","1612","2121","43.18","0.76","1.25","0.51","2.28","0.19","4664","1892","8504","692","523","32.44","71.14","64.58","28.86","1.76","3.34","56.47","12.29","15060"
"60","🇭🇺","jauzz* (185K)","JauzZ*","291026","7.5","10.00","0.745","Elite Goalkeeper","B-Tier","3248","1787","1461","55.02","1.22","1.22","0.57","2.93","0.20","3952","1860","9524","644","648","36.26","68.00","70.67","32.00","1.79","3.95","62.10","14.79","15336"
"61","🇮🇱","krs (526K)","Krs","228516","7.4","7.24","1.027","All-Round Midfielder","B-Tier","12656","5932","6724","46.87","0.88","1.15","0.50","0.92","0.18","14600","6329","11682","2276","2208","37.22","69.76","44.45","30.24","1.65","1.90","35.82","5.13","32611"
"62","🇧🇷","#bzklets (473K)","ExTr3Me","192348","7.4","7.64","0.971","Opportunist Striker","B-Tier","9325","4389","4936","47.07","0.89","1.40","0.45","0.94","0.19","13085","4174","8776","1816","1753","39.94","75.82","40.14","24.18","1.85","2.15","33.71","4.83","26035"
"63","🇹🇳","goat/e (368K)","xGOAT","339217","7.4","8.10","0.909","Elite Striker","B-Tier","7124","4010","3114","56.29","1.29","1.70","0.57","0.79","0.18","12096","4034","5594","1291","1708","42.59","74.99","31.62","25.01","2.26","2.30","25.75","4.33","21724"
"64","🇸🇦","spicypizza (329K)","999xx","141224","7.4","8.86","0.838","Elite Striker","B-Tier","4805","2591","2214","53.92","1.17","2.00","0.53","1.16","0.16","9597","2535","5551","786","1297","50.06","79.10","36.65","20.90","2.52","2.99","31.39","7.06","17683"
"65","🇸🇦","r2d|prox (301K)","Pr0x","223368","7.4","9.47","0.783","Elite Striker","B-Tier","3889","2333","1556","59.99","1.50","2.31","0.65","1.20","0.19","8999","2532","4661","735","1266","54.26","78.04","34.12","21.96","2.97","3.32","28.79","6.34","16192"
"66","🇺🇦","nash (456K)","Slave","143140","7.3","7.63","0.951","Elite Striker","B-Tier","8605","4616","3989","53.64","1.16","1.34","0.56","0.78","0.11","11490","4821","6738","964","1776","38.47","70.44","36.97","29.56","1.90","2.01","29.23","6.99","23049"
"67","🇵🇱","gr|jacekdaniel (259K)","Sweat3","453597","7.3","10.00","0.729","Elite Striker","B-Tier","2987","1674","1313","56.04","1.27","2.07","0.74","2.60","0.29","6173","2223","7777","867","998","59.62","73.52","55.75","26.48","2.81","4.38","48.09","8.97","16173"
"68","🇯🇴","hamzilton (215K)","Nevoso","333755","7.3","9.46","0.768","Elite Goalkeeper","B-Tier","3640","2195","1445","60.30","1.52","0.85","0.44","1.98","0.14","3091","1616","7197","502","934","42.55","65.67","69.96","34.33","1.29","2.69","60.46","14.34","11904"
"69","🇨🇱","paredes[5] (503K)","SasukeUchiha","146992","7.2","7.09","1.012","Standard Playmaker","B-Tier","11162","5450","5712","48.83","0.95","0.99","0.43","1.01","0.18","11031","4825","11239","2059","1924","35.30","69.57","50.47","30.43","1.42","1.81","41.48","5.46","27095"
"70","🇭🇺","qweqwe (421K)","KisHP","27552","7.2","7.69","0.932","Elite Striker","B-Tier","7938","3873","4065","48.79","0.95","1.40","0.50","0.94","0.12","11080","4005","7431","922","1452","37.49","73.45","40.14","26.55","1.90","2.22","33.00","8.06","22516"
"71","🇹🇷","*~devastating~* (363K)","Devas123","323716","7.2","8.22","0.882","Elite Striker","B-Tier","6134","3091","3043","50.39","1.02","1.72","0.53","1.06","0.19","10547","3257","6477","1139","1229","39.76","76.41","38.05","23.59","2.25","2.59","31.94","5.69","20281"
"72","🇵🇱","diabollo (360K)","DiabolloACE","267097","7.2","8.38","0.860","Elite Striker","B-Tier","5374","2969","2405","55.25","1.23","2.14","0.71","0.86","0.19","11492","3809","4631","995","1292","43.52","75.11","28.72","24.89","2.85","2.82","23.23","4.65","19932"
"73","🇩🇿","btwr (314K)","Stigo77","460444","7.2","8.21","0.883","Elite Goalkeeper","B-Tier","6174","2891","3283","46.83","0.88","0.75","0.42","1.82","0.18","4646","2605","11252","1085","1023","35.39","64.07","70.78","35.93","1.17","2.40","60.81","10.37","18503"
"74","🇵🇱","dannys (303K)","Dan3006","147086","7.2","8.79","0.823","Elite Striker","B-Tier","4549","2596","1953","57.07","1.33","1.93","0.74","1.06","0.22","8781","3367","4809","995","1050","40.45","72.28","35.39","27.72","2.67","2.77","28.36","4.83","16957"
"75","🇪🇸","astur (272K)","Astur","255243","7.2","8.94","0.804","Elite Striker","B-Tier","4239","2174","2065","51.29","1.05","1.74","0.60","1.23","0.18","7355","2531","5216","744","1041","47.88","74.40","41.49","25.60","2.33","2.79","34.54","7.01","15102"
"76","🇸🇦","gs-pedro (238K)","synco","477519","7.2","9.79","0.741","Elite Striker","B-Tier","3181","1849","1332","58.13","1.39","1.99","0.65","1.38","0.16","6327","2074","4386","495","1016","54.95","75.31","40.94","24.69","2.64","3.21","34.30","8.86","12787"
"77","🇹🇷","kobra (215K)","kebab63","99883","7.2","9.35","0.775","Elite Goalkeeper","B-Tier","3755","2019","1736","53.77","1.16","0.75","0.43","2.14","0.15","2805","1613","8024","554","872","43.19","63.49","74.10","36.51","1.18","2.74","64.49","14.48","12442"
"78","🇹🇷","sentez (203K)","htzn","234824","7.2","9.52","0.755","Elite Goalkeeper","B-Tier","3422","1827","1595","53.39","1.15","0.98","0.46","2.03","0.16","3337","1588","6960","532","799","43.73","67.76","67.59","32.24","1.44","2.85","58.56","13.08","11885"
"79","🇺🇦","coldhands (435K)","focus812","396648","7.1","7.55","0.942","Elite Striker","B-Tier","8284","4285","3999","51.73","1.07","1.46","0.54","0.67","0.14","12125","4434","5563","1130","1722","40.19","73.22","31.45","26.78","2.00","2.00","25.15","4.92","22122"
"80","🇮🇱","#liran (424K)","Liran59","42079","7.1","7.82","0.909","Opportunist Striker","B-Tier","7096","3358","3738","47.32","0.90","1.86","0.54","0.87","0.19","13168","3853","6204","1329","1404","41.81","77.36","32.03","22.64","2.40","2.54","26.71","4.67","23225"
"81","🇱🇻","exo (419K)","1Ivanov1","442582","7.1","7.38","0.964","All-Round Midfielder","B-Tier","9079","4117","4962","45.35","0.83","0.85","0.48","1.40","0.23","7737","4321","12751","2102","1230","29.88","64.16","62.24","35.84","1.33","2.03","51.40","6.07","24809"
"82","🇪🇬","badboy7 (377K)","BaDBoY693269326932","383289","7.1","7.68","0.925","Standard Playmaker","B-Tier","7668","3870","3798","50.47","1.02","0.96","0.46","1.26","0.15","7325","3526","9647","1153","1434","37.05","67.51","56.84","32.49","1.42","2.06","47.06","8.37","20498"
"83","🇲🇾","fr3d0m (263K)","AberrantDumptruck66","424536","7.1","8.97","0.795","Elite Striker","B-Tier","4089","2179","1910","53.29","1.14","1.80","0.60","1.22","0.26","7352","2473","4991","1075","1012","46.44","74.83","40.44","25.17","2.40","2.76","33.69","4.64","14816"
"84","🇹🇷","[k.r.a.l.]<3baris<3 (498K)","baris12","75587","7.0","6.95","1.008","All-Round Midfielder","B-Tier","10765","4942","5823","45.91","0.85","1.13","0.44","0.88","0.13","12136","4769","9439","1389","1772","35.86","71.79","43.75","28.21","1.57","1.88","35.83","6.80","26344"
"85","🇲🇦","#silver (451K)","Silver55","461322","7.0","7.29","0.962","All-Round Midfielder","B-Tier","9008","4895","4113","54.34","1.19","1.15","0.51","0.89","0.11","10372","4575","8031","1030","1534","31.34","69.39","43.64","30.61","1.66","1.93","34.95","7.80","22978"
"86","🇹🇳","fycwassym (360K)","Wassymx","193587","7.0","7.74","0.901","Opportunist Striker","B-Tier","6818","3095","3723","45.39","0.83","1.46","0.56","0.97","0.21","9934","3789","6616","1405","1134","36.64","72.39","39.98","27.61","2.01","2.22","32.53","4.71","20339"
"87","🇪🇬","afk (331K)","MusTafaax","470121","7.0","8.01","0.878","Elite Striker","B-Tier","5998","3028","2970","50.48","1.02","1.34","0.53","1.14","0.20","8066","3158","6823","1191","1053","34.78","71.86","45.83","28.14","1.87","2.28","37.81","5.73","18047"
"88","🇩🇿","mezzekyxz (295K)","Mezzeky","50127","7.0","8.95","0.779","Elite Striker","B-Tier","3810","2468","1342","64.78","1.84","2.25","0.70","0.70","0.15","8558","2663","2655","588","1447","58.63","76.27","23.68","23.73","2.95","2.79","19.13","4.52","13876"
"89","🇵🇱","-dronixx (279K)","dronixx","340080","7.0","8.20","0.851","Elite Striker","B-Tier","5030","2727","2303","54.21","1.18","1.36","0.55","1.01","0.14","6864","2773","5066","713","1124","41.22","71.23","42.46","28.77","1.92","2.23","34.46","7.11","14703"
"90","🇩🇪","plasticshin90 (276K)","Triguano","61848","7.0","8.21","0.854","Opportunist Striker","B-Tier","5156","2387","2769","46.30","0.86","1.26","0.59","1.33","0.24","6487","3049","6854","1229","855","35.82","68.03","51.38","31.97","1.85","2.35","41.82","5.58","16390"
"91","🇹🇷","racerx (243K)","RacerX","398540","7.0","10.00","0.703","Elite Striker","B-Tier","2547","1814","733","71.22","2.47","2.60","0.61","1.87","0.15","6612","1555","4772","377","1125","62.02","80.96","41.92","19.04","3.21","4.32","36.88","12.66","12939"
"92","🇹🇷","lulutsz (296K)","Lulutsz","445080","6.9","8.04","0.861","Elite Striker","B-Tier","5390","3019","2371","56.01","1.27","1.34","0.57","0.96","0.14","7227","3072","5184","759","1120","37.10","70.17","41.77","29.83","1.91","2.16","33.48","6.83","15483"
"93","🇹🇷","-gs-sady (241K)","DoeR","341240","6.9","8.96","0.771","Elite Striker","B-Tier","3681","2156","1525","58.57","1.41","1.73","0.61","1.04","0.16","6353","2259","3843","580","1061","49.21","73.77","37.69","26.23","2.34","2.61","30.86","6.63","12455"
"94","🇪🇬","[au]bedo (213K)","bedo","188457","6.9","8.94","0.776","All-Round Midfielder","B-Tier","3770","1954","1816","51.83","1.08","1.17","0.48","1.80","0.18","4397","1822","6801","673","628","32.14","70.70","60.73","29.30","1.65","2.79","52.24","10.11","13020"
"95","🇲🇹","fychoomie (212K)","Homyatol","11964","6.9","8.40","0.825","Elite Goalkeeper","B-Tier","4591","2121","2470","46.20","0.86","0.66","0.39","2.09","0.15","3032","1791","9605","702","673","31.73","62.87","76.01","37.13","1.05","2.60","66.57","13.68","14428"
"96","🇸🇻","[hvs]awebito (499K)","MatrixC19","388815","6.8","6.79","1.008","Elite Striker","B-Tier","10812","5637","5175","52.14","1.09","1.23","0.45","0.59","0.12","13270","4846","6421","1257","1952","34.63","73.25","32.61","26.75","1.68","1.70","26.17","5.11","24537"
"97","🇹🇷","laz (239K)","Mlkye","240334","6.8","8.12","0.837","Elite Goalkeeper","B-Tier","4786","2361","2425","49.33","0.97","0.79","0.39","1.73","0.15","3763","1880","8279","728","820","34.73","66.68","68.75","33.32","1.18","2.36","59.47","11.37","13922"
"98","🇸🇦","17fa (224K)","DeeeeMoooo","304654","6.8","9.05","0.754","Elite Striker","B-Tier","3398","1869","1529","55.00","1.22","1.72","0.71","1.19","0.23","5828","2399","4030","784","826","44.19","70.84","40.88","29.16","2.42","2.67","32.88","5.14","12257"
"99","🇭🇺","panthy (218K)","Kolbasz","15478","6.8","9.22","0.738","Elite Striker","B-Tier","3129","1620","1509","51.77","1.07","2.04","0.57","1.38","0.21","6369","1783","4318","647","796","49.14","78.13","40.40","21.87","2.61","3.21","34.63","6.67","12470"
